split,p_kpa,tip_y_mm,tip_angle_rad
train,10.0,23.215267509839503,0.17472335468841008
train,20.0,45.94585494952936,0.34944670937682015
train,30.0,67.71900790961614,0.5241700640652301
train,40.0,88.08551044888284,0.6988934187536403
train,50.0,106.63068068970657,0.8736167734420501
train,60.0,122.98446159484027,1.0483401281304603
val,70.0,136.83034386575875,1.22306348281887
val,80.0,147.91288956261056,1.3977868375072806
test,90.0,156.04366294180764,1.5725101921956905
test,100.0,161.10541808998727,1.7472335468841
