iter,loss,phys,bc,shape,tip,block,EI_eff_Nmm2,k_p_N_per_kPa,val_total,val_shape,val_tip,val_block
0,18.408348083496094,1.3560564517974854,0.09648729115724564,0.3267108201980591,0.4776601195335388,9.078708618215359e-11,1374.9742431640625,0.0011988007463514805,33.4221305847168,0.29960399866104126,1.3715022802352905,5.074754199085874e-07
1,18.017866134643555,1.3815561532974243,0.370877742767334,0.32675737142562866,0.31961917877197266,1.4475028820015723e-07,1374.746337890625,0.0011976019013673067,35.877159118652344,0.29956191778182983,1.4942948818206787,2.1410296540125273e-06
2,16.944665908813477,1.3567849397659302,0.22639387845993042,0.3267210125923157,0.3394757807254791,5.92152616718522e-07,1374.38525390625,0.0011964067816734314,39.448585510253906,0.29951995611190796,1.6729068756103516,4.892272954748478e-06
3,16.23613929748535,1.3290669918060303,0.07617354393005371,0.32666727900505066,0.38059890270233154,1.3395050473263836e-06,1374.3800048828125,0.0011952173663303256,40.61539840698242,0.2994903326034546,1.731275200843811,8.7433527369285e-06
4,16.05611228942871,1.3306448459625244,0.027302151545882225,0.3266127407550812,0.3960084021091461,2.382068714723573e-06,1374.4564208984375,0.0011940322583541274,38.642059326171875,0.29947665333747864,1.6326193809509277,1.3684351870324463e-05
5,15.510376930236816,1.3452298641204834,0.025022678077220917,0.32656633853912354,0.36917778849601746,3.7171689655224327e-06,1374.8426513671875,0.001192846684716642,34.999507904052734,0.29947149753570557,1.4504940509796143,1.9730356143554673e-05
6,14.854135513305664,1.3387112617492676,0.05078236013650894,0.3265257179737091,0.32385164499282837,5.348911145119928e-06,1375.38818359375,0.001191662740893662,31.229944229125977,0.29946574568748474,1.2620179653167725,2.686857078515459e-05
7,14.394148826599121,1.3134500980377197,0.08722985535860062,0.32648178935050964,0.2839345932006836,7.273767550941557e-06,1376.0848388671875,0.0011904853163287044,28.276508331298828,0.2994523048400879,1.1143555641174316,3.505826316541061e-05
8,14.144074440002441,1.321661114692688,0.11333822458982468,0.3264278471469879,0.25801894068717957,9.480887456447817e-06,1376.663818359375,0.0011893130140379071,26.47284507751465,0.299427330493927,1.0241928100585938,4.42932614532765e-05
9,13.853840827941895,1.2928812503814697,0.11569155007600784,0.32636186480522156,0.24383439123630524,1.196855737362057e-05,1377.0096435546875,0.0011881525861099362,25.68214988708496,0.29939156770706177,0.9846886992454529,5.4496827942784876e-05
10,13.325201034545898,1.315267562866211,0.07232414186000824,0.32628488540649414,0.23804232478141785,1.4716270015924238e-05,1377.2178955078125,0.0011869959998875856,25.159372329711914,0.2993484139442444,0.9585872292518616,6.571736594196409e-05
11,13.126322746276855,1.3135857582092285,0.05865298584103584,0.3262024521827698,0.23509901762008667,1.7736696463543922e-05,1377.3477783203125,0.0011858429061248899,24.422487258911133,0.2993035912513733,0.9217817783355713,7.795066630933434e-05
12,13.060700416564941,1.2960349321365356,0.0642450749874115,0.3261207044124603,0.2299794852733612,2.1028972696512938e-05,1377.579345703125,0.001184695865958929,23.145954132080078,0.299263060092926,0.8579891324043274,9.11527022253722e-05
13,12.997718811035156,1.3006196022033691,0.0799202024936676,0.3260466754436493,0.21883587539196014,2.4581529942224734e-05,1377.255126953125,0.00118355848826468,21.570911407470703,0.2992265224456787,0.779266357421875,0.00010526501864660531
14,12.756622314453125,1.3068586587905884,0.07826196402311325,0.3259795904159546,0.20736344158649445,2.837809552147519e-05,1376.6204833984375,0.0011824280954897404,20.148731231689453,0.2991880178451538,0.7081883549690247,0.00012029630306642503
